pl_name,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_massjlim,pl_dens,st_mass
WASP-130 b,1,1,1,11.55098,0.1012,9.976,0.89,390.9309,1.23,0,2.34,1.04
WASP-13 b,1,1,1,4.35301,,13.675,1.22,114.4188,0.36,0,,0.72
WASP-129 b,1,2,1,5.748145,0.0628,10.424,0.93,317.83,1.0,0,1.6,1.0
WASP-127 b,1,2,1,4.17806203,0.0484,14.695,1.311,52.3466,0.1647,0,0.097,0.95
WASP-126 c,1,1,2,7.63,,,,64.2,0.20199,0,,1.12
WASP-126 b,1,1,2,3.28883,,,,90.3,0.28411,0,,1.12
WASP-124 b,1,1,1,3.37265,0.0449,13.899,1.24,190.698,0.6,0,0.43,1.07
WASP-123 b,1,2,1,2.9776412,0.04263,14.773,1.318,285.72917,0.899,0,0.521,1.17
WASP-121 b,1,1,1,1.27492504,0.02596,19.649,1.753,367.72747,1.157,0,0.266,1.36
WASP-120 b,1,1,1,3.6112706,0.0514,16.511,1.473,1541.4755,4.85,0,2.0,1.39
WASP-12 b,1,3,1,1.09142,0.0232,21.712,1.937,465.62095,1.465,0,0.267,1.43
WASP-119 b,1,1,1,2.49979,0.0363,15.693,1.4,390.9309,1.23,0,0.7,1.02
WASP-118 b,1,1,1,4.0460435,0.05453,16.141,1.44,163.36462,0.514,0,0.233,1.32
WASP-117 b,1,1,1,10.02165,,11.882,1.06,95.349,0.3,0,,1.29
WASP-114 b,1,2,1,1.5487743,0.02851,15.009,1.339,562.24127,1.769,0,0.97,1.29
WASP-113 b,1,1,1,4.54216875,0.05885,15.793,1.409,150.96925,0.475,0,0.228,1.32
WASP-110 b,1,1,1,3.77840121,,13.877,1.238,162.09249,0.51,0,,
WASP-11 b,1,3,1,3.72247,,12.442,1.11,251.0857,0.79,0,,1.42
WASP-107 c,1,1,2,1088.0,,,,,,,,0.68
WASP-107 b,1,1,2,5.7214742,,,,30.5,0.096,0,0.134,0.68
WASP-106 b,1,1,1,9.28971,,11.433,1.02,514.8846,1.62,0,,0.93
WASP-105 b,1,1,1,7.87288,0.075,10.761,0.96,572.094,1.8,0,2.65,0.89
WASP-104 b,1,2,1,1.7554137,0.02918,12.745,1.137,404.263,1.272,0,1.074,1.08
WASP-103 b,1,1,1,0.925542,0.01985,17.127,1.528,473.547,1.49,0,0.55,1.22
WASP-101 b,1,1,1,3.58572,,16.029,1.43,162.0933,0.51,0,,1.41
WASP-100 b,1,2,1,2.84938,,14.908,1.33,400.4658,1.26,0,,0.77
WASP-10 b,1,1,1,3.0927616,0.03781,12.106,1.08,1001.12,3.15,0,4.14,0.75
WASP-1 b,1,2,1,2.5199454,0.03889,16.623,1.483,271.415,0.854,0,0.348,1.24
VHS J125601.92-125723.9 b,1,2,1,5800000.0,350.0,13.675,1.22,5085.25451,16.0,0,,
V830 Tau b,1,1,1,4.927,0.057,,,222.481,0.7,0,,1.0
V1298 Tau e,1,3,4,53.5,,9.976,0.89,321.00669,1.01,0,1.79,1.26
V1298 Tau d,1,3,4,12.4032,0.1083,6.41,0.572,,,,,1.1
V1298 Tau c,1,3,4,8.24958,0.0825,5.59,0.499,,,,,1.1
V1298 Tau b,1,3,4,24.1396,0.1688,10.27,0.916,,,,,1.1
V0391 Peg b,1,1,1,1170.0,1.7,,,,,,,0.5
UZ For c,1,2,2,1916.25,2.8,,,2447.2,7.7,-1,,0.7
UZ For b,1,2,2,5840.0,5.9,,,2002.2,6.3,-1,,0.7
USco1621 b,1,1,1,,2880.0,,,5085.28,16.0,0,,0.36
USco1556 b,1,1,1,,3500.0,,,4767.45,15.0,0,,0.33
USco CTIO 108 b,1,1,1,,670.0,,,4449.62,14.0,0,,0.06
UKIRT-2017-BLG-001L b,1,1,1,,4.18,,,407.0,1.28,0,,0.81
UCAC4 328-061594 b,1,1,1,,19000.0,,,6674.39655,21.0,0,,1.19
UCAC3 113-933 b,1,1,1,,6100.0,,,6674.39655,21.0,0,,0.61
TrES-5 b,1,1,1,1.48224686,0.02459,13.384,1.194,568.9157,1.79,0,1.31,0.9
TrES-4 b,1,2,1,3.55395,,18.046,1.61,247.9074,0.78,0,,1.08
TrES-3 b,1,1,1,1.30618581,0.02282,14.975,1.336,607.03,1.91,0,0.994,0.93
TrES-2 b,1,2,1,2.47063,,15.244,1.36,473.5667,1.49,0,,1.36
TrES-1 b,1,2,1,3.03007,,12.666,1.13,266.9772,0.84,0,,1.04
Teegarden's Star d,1,1,3,26.13,0.0791,,,,,,,0.1
Teegarden's Star c,1,1,3,11.416,0.0455,,,,,,,0.1
Teegarden's Star b,1,1,3,4.90634,0.0259,,,,,,,0.1
TYC 8998-760-1 c,1,1,2,,320.0,12.33,1.1,1906.98,6.0,0,,1.0
TYC 8998-760-1 b,1,1,2,,162.0,,,4449.62,14.0,0,,1.0
TYC 4282-00605-1 b,1,1,1,101.54,0.422,,,,,,,0.97
TYC 3667-1280-1 b,1,1,1,26.468,0.21,,,,,,,1.87
TYC 3318-01333-1 b,1,1,1,562.0,1.414,,,,,,,1.19
TYC 2187-512-1 b,1,1,1,691.9,1.22,,,,,,,0.5
TYC 1422-614-1 c,1,1,2,559.3,1.37,,,,,,,1.15
TYC 1422-614-1 b,1,1,2,198.4,0.69,,,,,,,1.15
TYC 0434-04538-1 b,1,1,1,193.2,0.66,,,,,,,1.04
TRAPPIST-1 h,1,1,7,18.772866,0.06189,0.755,0.067,0.326,0.00103,0,4.16278,0.09
TRAPPIST-1 g,1,1,7,12.352446,0.04683,1.129,0.101,1.321,0.00416,0,5.05599,0.09
TRAPPIST-1 f,1,1,7,9.20754,0.03849,1.045,0.093,1.039,0.00327,0,5.0229,0.09
TRAPPIST-1 e,1,1,7,6.101013,0.02925,0.92,0.082,0.692,0.00218,0,4.9016,0.09
TRAPPIST-1 d,1,1,7,4.049219,0.02227,0.788,0.07,0.388,0.00122,0,4.36678,0.09
TRAPPIST-1 c,1,1,7,2.421937,0.0158,1.097,0.098,1.308,0.00412,0,5.46399,0.09
TRAPPIST-1 b,1,1,7,1.510826,0.01154,1.116,0.1,1.374,0.00432,0,5.44194,0.09
TOI-969 c,1,1,2,1700.0,2.52,,,,,,,0.73
TOI-969 b,1,1,2,1.8237305,0.02636,2.765,0.247,9.1,0.02863,0,2.34,0.73
TOI-954 b,1,1,1,3.6849729,0.04963,9.55,0.852,55.30242,0.174,0,0.35,1.2
TOI-942 c,1,3,2,10.156272,0.08598,4.67,0.417,,,,,0.82
TOI-942 b,1,3,2,4.32421,0.04866,3.89,0.347,,,,,0.82
TOI-913 b,1,1,1,11.098644,,2.453,0.219,,,,,0.82
TOI-908 b,1,1,1,3.183792,0.041657,3.186,0.284,16.137,0.05077,0,2.742,0.95
TOI-907.01,1,1,1,4.5849129,0.055225,9.616,0.857,,,,,1.07
TOI-905 b,1,1,1,3.739494,0.04666,13.126,1.171,211.99261,0.667,0,0.515,0.97
TOI-904 c,1,1,2,83.9997,0.312,2.167,0.193,,,,,0.56
TOI-904 b,1,1,2,10.8772,0.056,2.426,0.216,,,,,0.56
TOI-892 b,1,1,1,10.62656,0.092,11.994,1.07,301.9385,0.95,0,,1.28
TOI-880.02,1,1,1,2.5735943,0.034191,2.778,0.248,,,,,0.81
TOI-871 b,1,1,1,14.362565,0.1054,1.664,0.148,,,,,0.76
